teacher_id,first_name,last_name,gender,email,department,designation,qualification,experience_years,salary,teacher_rating,quality_score,joining_date
TR001,Sneha,Sharma,Male,sneha.sharma238@eduinsights.com,Power BI,Assistant Trainer,PhD,9,945580,4.55,91,2025-08-04 01:03:04.604654
TR002,Amit,Gupta,Male,amit.gupta584@eduinsights.com,Machine Learning,Principal Instructor,MBA,8,715574,4.11,91,2026-02-11 01:03:04.610206
TR003,Neha,Chauhan,Female,neha.chauhan294@eduinsights.com,Power BI,Trainer,M.Sc,14,953587,4.26,100,2018-03-18 01:03:04.610310
TR004,Pooja,Jain,Male,pooja.jain757@eduinsights.com,Artificial Intelligence,Principal Instructor,B.Tech,9,1383548,4.43,99,2019-09-08 01:03:04.610356
TR005,Divya,Mishra,Male,divya.mishra731@eduinsights.com,Python,Assistant Trainer,M.Tech,12,1305310,4.37,100,2021-01-14 01:03:04.610395
TR006,Sneha,Joshi,Female,sneha.joshi660@eduinsights.com,Business Analytics,Trainer,M.Sc,9,1086264,4.33,95,2024-08-29 01:03:04.610439
TR007,Divya,Mehta,Male,divya.mehta177@eduinsights.com,Artificial Intelligence,Lead Instructor,M.Sc,6,892002,3.95,84,2025-01-02 01:03:04.610483
TR008,Ananya,Naik,Female,ananya.naik420@eduinsights.com,Statistics,Assistant Trainer,M.Tech,2,548682,4.11,68,2021-06-29 01:03:04.610521
TR009,Nisha,Joshi,Male,nisha.joshi281@eduinsights.com,Power BI,Trainer,PhD,15,1182579,4.36,100,2016-08-26 01:03:04.610562
TR010,Varun,Joshi,Male,varun.joshi151@eduinsights.com,Data Visualization,Lead Instructor,B.Tech,12,1296247,4.23,100,2022-10-31 01:03:04.610598
TR011,Neha,Pandey,Male,neha.pandey404@eduinsights.com,Data Engineering,Principal Instructor,MBA,14,1177408,4.35,100,2026-01-01 01:03:04.610633
TR012,Sneha,Mehta,Female,sneha.mehta797@eduinsights.com,Business Analytics,Assistant Trainer,M.Sc,18,1627942,4.58,100,2020-05-09 01:03:04.610669
